implementation,factor,MC
R,2,0.998408672136503
R,3,0.9965005010045074
R,4,0.9934644589441164
R,1,0.8067227413990228
R,2,0.9976473753914725
R,3,0.9941375343144667
R,4,0.9936235251796535
R,1,0.8623632009925327
R,2,0.9982788740137837
R,3,0.9951202460825346
R,4,0.9918953909916214
R,1,0.3278996822055598
R,2,0.9973393793002672
R,3,0.9938129064548352
R,4,0.9952671321625353
R,1,0.855154771636615
R,2,0.9981592681012921
R,3,0.9961558324784296
R,4,0.9938245766822345
R,1,0.7360185586413438
R,2,0.9980442756348915
R,3,0.9959463846940312
R,4,0.9943363748665734
R,1,0.9122092636241796
R,2,0.997711052496668
R,3,0.9952366710816449
R,4,0.9911617311857617
R,1,0.8320172911556993
R,2,0.9977325834934938
R,3,0.9961447044919487
R,4,0.9939685159469098
R,1,0.8293498739340797
R,2,0.9980646443253292
R,3,0.9953115032626637
R,4,0.9937572414709348
R,1,0.8708477430563103
R,2,0.9979838185255655
R,3,0.996115880310637
R,4,0.993916974283177
R,1,0.6288201688758567
R,2,0.9978071556312452
R,3,0.9952441819820581
R,4,0.9942259955768016
R,1,0.8210794598077513
R,2,0.9979516863332137
R,3,0.9966218892094916
R,4,0.9909575249471578
R,1,0.9480361313400333
R,2,0.9976613010094869
R,3,0.9944296244275025
R,4,0.9912298174058807
R,1,0.9659732905739414
R,2,0.9961669633609282
R,3,0.996472230307563
R,4,0.9954516740275134
R,1,0.7343249832032797
R,2,0.997638725414854
R,3,0.9971702281369195
R,4,0.9944303286165919
R,1,0.9641035825481878
R,2,0.9978023016401786
R,3,0.9955808385201129
R,4,0.9953302361739611
R,1,0.42000435522963303
R,2,0.998535058383096
R,3,0.9959748747005484
R,4,0.9940356660647719
R,1,0.8659005358937645
R,2,0.997255111658414
R,3,0.997015737734341
R,4,0.9925646842364866
R,1,0.726427776010856
R,2,0.9974993477845735
R,3,0.9948078162847429
R,4,0.9951726243817958
R,1,0.7491130579286011
R,2,0.9973353635448158
R,3,0.9961771272038167
R,4,0.9931187863076582
R,1,0.9089509437088378
R,2,0.9966612613562914
R,3,0.9957927218398519
R,4,0.9930189847171692
R,1,0.9241708546985586
R,2,0.9973167941247135
R,3,0.9953653140020199
R,4,0.9928609803994028
R,1,0.37619528458810475
R,2,0.9971660130322245
R,3,0.996217547323796
R,4,0.9956209646060368
R,1,0.8958368102955618
R,2,0.9976498177826981
R,3,0.9961727666609085
R,4,0.9905481501860243
R,1,0.9259993266258221
R,2,0.9967023130565059
R,3,0.9948770139694885
R,4,0.9935715300173632
R,1,0.7281833576516832
R,2,0.9977252214944689
R,3,0.9951790039456083
R,4,0.9919313903129214
R,1,0.8376036232044367
R,2,0.9970120579200283
R,3,0.9949386323902925
R,4,0.9912008424039229
R,1,0.9212518050741585
R,2,0.9977853053995104
R,3,0.9960835309772176
R,4,0.9943063886379192
R,1,0.7525923056911422
R,2,0.9972012372784786
R,3,0.9965998057743372
R,4,0.9933054527942301
R,1,0.6918040187411104
R,2,0.9979135897373559
R,3,0.9957027478299021
R,4,0.9948536345763129
R,1,0.8749649901837308
R,2,0.9961996418757015
R,3,0.9955225087531439
R,4,0.9932249790772342
R,1,0.8963549342257698
R,2,0.9968333853580587
R,3,0.9940692344013417
R,4,0.9936039052999788
R,1,0.8361970491028389
R,2,0.9968320800957973
R,3,0.9951319074908569
R,4,0.9932179962452659
R,1,0.8960594317291765
R,2,0.9974555130492293
R,3,0.9943862072388105
R,4,0.9955035007253177
R,1,0.8284077169984259
R,2,0.9980929878013988
R,3,0.9955680711714808
R,4,0.9928478425599998
R,1,0.6892761234418301
R,2,0.9977975639376124
R,3,0.9952452203135962
R,4,0.9958458497117211
R,1,0.3331188014583095
R,2,0.9980498561526923
R,3,0.9950951844474046
R,4,0.994251165243821
R,1,0.35396160664016346
R,2,0.9975527022573505
R,3,0.9956431833090323
R,4,0.9929857488756939
R,1,0.37210206969533294
R,2,0.9979770237543623
R,3,0.995954695169732
R,4,0.9933655217074738
R,1,0.4432365254562247
R,2,0.9976592439481209
R,3,0.9948667306314625
R,4,0.9940187686399653
R,1,0.8101968507123971
R,2,0.997483079316196
