implementation,factor,MC
R,2,0.9977014817606211
R,3,0.9960004764334915
R,4,0.9929737797380401
R,1,0.2812633150167017
R,2,0.9972946204477199
R,3,0.9960034807717254
R,4,0.9950953135038119
R,1,0.7941586256708935
R,2,0.9981348621832976
R,3,0.9962761461112088
R,4,0.9945111862651634
R,1,0.8859398052379396
R,2,0.9960655808534985
R,3,0.9966299592396478
R,4,0.9941022237514392
R,1,0.8192769317689319
R,2,0.9984888653756383
R,3,0.9950040578191799
R,4,0.9925994014959152
R,1,0.87435841360254
R,2,0.9974861934652745
R,3,0.9961970380386055
R,4,0.9933570781105584
R,1,0.5632242736483628
R,2,0.996790028881065
R,3,0.9970858153894872
R,4,0.9948523706159862
R,1,0.6346138642957936
R,2,0.9972734710455069
R,3,0.99501454690384
R,4,0.9918431041002287
R,1,0.8294167308804955
R,2,0.9981531336865199
R,3,0.9969922978382048
R,4,0.9948545232383075
R,1,0.8829627628418687
R,2,0.9974287830108294
R,3,0.9965268388336691
R,4,0.9931210422668827
R,1,0.6113921169497287
R,2,0.9982457484866049
R,3,0.9959157993295963
R,4,0.995623899551368
R,1,0.9164152543519026
R,2,0.9981360477274658
R,3,0.9966295722316528
R,4,0.9941075378474865
R,1,0.934002789825606
R,2,0.9980259144388157
R,3,0.9973541906994222
R,4,0.9927708402346291
R,1,0.8448124070865582
R,2,0.9981701016014034
R,3,0.9964287873004222
R,4,0.9893220171442675
R,1,0.8731613365727179
R,2,0.9979742917999967
R,3,0.9960090699743868
R,4,0.9956624082404041
R,1,0.7525749561966864
R,2,0.9981741631636271
R,3,0.9964182833873434
R,4,0.993330887133991
R,1,0.3845258646889949
R,2,0.9980548330382012
R,3,0.9967833028317362
R,4,0.9957105225568478
R,1,0.7699397074476118
R,2,0.9971656329095854
R,3,0.9960421790855969
R,4,0.9941801264904985
R,1,0.6610413607726127
R,2,0.9978494022890949
R,3,0.9943834789729732
R,4,0.9930307706324913
R,1,0.8890718269675997
R,2,0.9979101323031254
R,3,0.9959521984998514
R,4,0.994042105182072
R,1,0.7724718311000207
R,2,0.9980904514787746
R,3,0.9951416992616143
R,4,0.9923238599043932
R,1,0.9595039687617145
R,2,0.998202874113613
R,3,0.9962462098308106
R,4,0.9929960923847397
R,1,0.939966459880636
R,2,0.9980459295218208
R,3,0.9948419315091404
R,4,0.9913755477343795
R,1,0.8259732113036565
R,2,0.9978989951628995
R,3,0.99603301319261
R,4,0.9911581037594162
R,1,0.7801408282095659
R,2,0.9970998381635641
R,3,0.9962255917755255
R,4,0.9921717213893831
R,1,0.6293729331209355
R,2,0.9975109941440381
R,3,0.9969751184162722
R,4,0.9937258755656908
R,1,0.829433952263254
R,2,0.9977435884064039
R,3,0.9960834450737663
R,4,0.9954492632547838
R,1,0.45301827478688184
R,2,0.9985260509119399
R,3,0.9967225120933799
R,4,0.9933331052317261
R,1,0.9116052914538247
R,2,0.9971120725627871
R,3,0.9934723929185535
R,4,0.9929383695627108
R,1,0.3552004933545778
R,2,0.9975540811242359
R,3,0.9963901627173669
R,4,0.9943501889679763
R,1,0.8120206798139872
R,2,0.9967037564013442
R,3,0.9968504374704973
R,4,0.9927433287930938
R,1,0.859295857301689
R,2,0.9976799002233291
R,3,0.9971527561866769
R,4,0.9948311177868753
R,1,0.8704902910308071
R,2,0.9982783107675886
R,3,0.9965335464141126
R,4,0.9936169094996673
R,1,0.815288073918339
R,2,0.9977778930436059
R,3,0.9967882728550808
R,4,0.9941412003102874
R,1,0.753525308715545
R,2,0.9975888688028256
R,3,0.9961950115364285
R,4,0.9929710407885646
R,1,0.8822458886477684
R,2,0.9976752545337433
R,3,0.996794723944709
R,4,0.9948358710101036
R,1,0.8730826903722586
R,2,0.9983606607271347
R,3,0.9955776900423042
R,4,0.9914423318110847
R,1,0.7951969004709246
R,2,0.9977519051617679
R,3,0.9949432679004167
R,4,0.9871639770430732
R,1,0.8381560969698829
R,2,0.9978564334736575
R,3,0.9964968527665196
R,4,0.991171240418455
R,1,0.9336863797999955
R,2,0.9973226064387268
R,3,0.9953606264973377
R,4,0.9930709971942949
R,1,0.2897284164291238
R,2,0.9977013123230468
R,3,0.9949025426096313
R,4,0.9954867572145741
R,1,0.7636773997727815
R,2,0.9974462098786885
R,3,0.9942702466314982
R,4,0.9933408204233342
R,1,0.9023959154518413
R,2,0.997671062303239
R,3,0.9966582373189
R,4,0.9941413612508745
R,1,0.750726835765802
R,2,0.9973209114375287
R,3,0.9960874238033004
R,4,0.9948272363957835
R,1,0.6598041219132725
R,2,0.9966697381033476
R,3,0.9961091843541056
R,4,0.9929696196270861
R,1,0.963688615399457
R,2,0.9986144565637016
R,3,0.9969518140974384
R,4,0.9956709274215283
R,1,0.7434995966039748
R,2,0.998188345513739
R,3,0.9966282468145344
R,4,0.9956728788119285
R,1,0.6550488516111794
R,2,0.9975244310151875
R,3,0.9963150718755303
R,4,0.9934493400749331
R,1,0.8503814131143069
R,2,0.9982240494776535
R,3,0.9955789386522805
R,4,0.994072366972188
R,1,0.929915242370411
R,2,0.9977736518579737
R,3,0.9965105590739878
R,4,0.9955217280528893
R,1,0.9561794258090909
R,2,0.9965707948207027
R,3,0.9962075153410687
R,4,0.9951652699126015
R,1,0.9253095460700071
R,2,0.997068684851814
R,3,0.9958539256675558
R,4,0.9929788764332637
R,1,0.3369892304126835
R,2,0.9984153922163203
R,3,0.9969204390094859
R,4,0.9912561752765207
R,1,0.44663416044028925
R,2,0.9979746331557574
R,3,0.9938676917429138
R,4,0.9930404933493986
R,1,0.9511218418367527
R,2,0.9974896803811023
R,3,0.9965825139827099
R,4,0.995711980572471
R,1,0.8013840646643178
R,2,0.9970342845240172
R,3,0.994899561217942
R,4,0.9915618481079046
R,1,0.826006763877785
R,2,0.9976337424926967
R,3,0.9960162163125189
R,4,0.9939253215885164
R,1,0.8513176815548865
R,2,0.998035265390459
R,3,0.995086752739616
R,4,0.9941788643563196
R,1,0.7270099627849386
R,2,0.9971134066936967
R,3,0.9954127813254714
R,4,0.9948722553622847
R,1,0.7889252081971957
R,2,0.9967325763977046
R,3,0.9965102222300777
R,4,0.9924833034238634
R,1,0.789088342817251
R,2,0.9962415016312951
R,3,0.995757112897212
R,4,0.9921352687994944
R,1,0.8419732241352454
R,2,0.9981962736168153
R,3,0.9939852870937642
R,4,0.9949080068650111
R,1,0.9459077930364314
R,2,0.9980441866896181
R,3,0.99588593564335
R,4,0.994241924444837
R,1,0.3071507135868094
R,2,0.9981843123663929
R,3,0.9969233226765221
R,4,0.9922577713218185
R,1,0.9288081930243685
R,2,0.9977816457475813
R,3,0.9958924164064428
R,4,0.9939521053629164
R,1,0.6197143667765396
R,2,0.9977765274856415
R,3,0.9947957891860227
R,4,0.9931484980535161
R,1,0.3755958269660203
R,2,0.9974295573176065
R,3,0.9938155390708254
R,4,0.9937939401907524
R,1,0.9015295287046727
R,2,0.9983648294736717
R,3,0.9968571921638765
R,4,0.9959635839589597
R,1,0.7885949155237372
R,2,0.9982679747676468
R,3,0.9966099774750641
R,4,0.9905294619565101
R,1,0.8128904506171651
R,2,0.9980407366402789
R,3,0.9968762820482882
R,4,0.9925438148812784
R,1,0.8698054869921884
